ERR7112472	OXFORD_NANOPORE	MinION	2021-10-18	2021-11-25	Ireland	2021-09-06
ERR7112474	OXFORD_NANOPORE	MinION	2021-10-18	2021-11-25	Ireland	2021-09-06
ERR7112476	OXFORD_NANOPORE	MinION	2021-10-18	2021-11-25	Ireland	2021-09-06
ERR7112478	OXFORD_NANOPORE	MinION	2021-10-18	2021-11-25	Ireland	2021-09-07
ERR7112489	OXFORD_NANOPORE	MinION	2021-10-18	2021-11-25	Ireland	2021-09-07
ERR7112507	OXFORD_NANOPORE	MinION	2021-10-18	2021-11-25	Ireland	2021-09-06
ERR7112518	OXFORD_NANOPORE	MinION	2021-10-18	2021-11-25	Ireland	2021-09-06
ERR7112524	OXFORD_NANOPORE	MinION	2021-10-18	2021-11-25	Ireland	2021-09-06
ERR7365345	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365351	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365352	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365353	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365355	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365356	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365358	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365362	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365364	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365365	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365366	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365368	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365369	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365373	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365374	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365376	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365377	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365379	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365383	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365385	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365386	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365388	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365394	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365397	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365399	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365400	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365401	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365405	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365412	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365413	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365418	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365423	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-05
ERR7365426	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365427	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365430	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365431	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365435	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365436	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365437	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365439	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365440	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365443	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365444	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365447	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365449	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365451	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365452	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365454	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365456	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365457	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365465	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365466	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365468	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365470	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365472	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-11-08
ERR7365473	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365476	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365481	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365484	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365486	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365487	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365490	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365494	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365495	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365496	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365498	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365499	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365502	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365503	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365504	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365506	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365507	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365509	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365510	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365512	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365518	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365519	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365528	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365531	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365533	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365534	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365536	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365538	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365541	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365544	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365545	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365546	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365548	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365550	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365551	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365552	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365554	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365555	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365561	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365568	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365569	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-14
ERR7365572	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365575	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365576	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
ERR7365577	OXFORD_NANOPORE	MinION	2021-11-18	2021-11-18	Ireland	2021-10-28
